,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
1446, Filatov Lug ,59000,5,walk,agency,50,18,7,9,2,64,64,64
1447, Piatnitckoe shosse ,41400,45,transport,agency,50,60,5,17,2,60,28,12
1448, Mitino ,42000,12,transport,agency,50,44,1,5,3,64,64,64
1449,No data,46800,0,transport,agency,50,30,2,16,1,40,12,11
1450, Olkhovaia ,46800,26,transport,agency,50,11,1,5,2,64,64,64
1451, Buninskaia Alleia ,31600,30,transport,agency,50,51,2,3,1,5,16,9
1452, Miakinino ,48300,36,transport,agency,0,27,11,15,1,64,64,64
1453, Buninskaia Alleia ,29200,21,transport,agency,50,36,5,16,1,4,10,4
1454, Alma-Atinskaia ,37300,12,walk,agency,50,19,10,17,1,64,64,64
1455, Okruzhnaia ,50000,9,walk,agency,50,46,2,20,1,38,16,14
1456, Filatov Lug ,53000,5,walk,agency,50,43,2,15,3,5,33,12
1457,No data,61700,0,walk,agency,50,4,1,9,1,64,64,64
1458, Miakinino ,46900,36,transport,agency,50,30,5,15,2,64,64,64
1459,No data,61000,0,transport,agency,50,45,14,14,1,64,64,64
1460, Polezhaevskaia ,128800,13,walk,agency,0,28,2,23,2,8,16,8
1461, Filatov Lug ,37000,6,walk,agency,50,26,4,16,1,64,64,64
1462, Okskaia ,57700,14,walk,agency,50,26,5,31,2,64,64,64
1463, Medvedkovo ,58000,12,transport,agency,50,10,10,33,+,6,28,11
1464, Ulitca Skobelevskaia ,62100,12,walk,agency,50,16,2,33,3,1,37,11
1465, Salarevo ,45000,15,walk,agency,50,32,11,22,1,47,24,10
1466, Seligerskaia ,45000,14,walk,agency,50,0,4,33,+,64,64,64
1467, Aviamotornaia ,60000,10,walk,agency,50,18,5,23,1,64,64,64
1468, Miakinino ,37800,36,transport,agency,0,29,10,15,1,64,64,64
