,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
2110, Oktiabrskoe pole ,96600,11,transport,agency,0,14,6,24,2,64,64,64
2111, Oktiabrskoe pole ,59900,11,transport,agency,0,18,3,24,1,64,64,64
2112, Krylatskoe ,45000,20,walk,developer,0,51,13,14,2,37,25,6
2113, Dinamo ,800000,9,walk,agency,0,29,9,10,3,64,64,64
2114, Paveletckaia ,210000,7,walk,agency,0,0,2,7,2,64,64,64
2115,No data,200000,0,walk,agency,0,21,17,45,3,64,64,64
2116, Ulitca 1905 goda ,140000,14,walk,agency,0,22,6,44,2,64,64,64
2117, Trubnaia ,150000,6,walk,agency,0,19,4,6,3,64,64,64
2118, Sretenskii bulvar ,260000,6,walk,agency,0,20,2,6,3,64,64,64
2119, Mezhdunarodnaia ,270000,6,walk,agency,0,21,20,79,2,64,64,64
2120, Paveletckaia ,450000,11,walk,agency,0,4,3,9,4,64,64,64
2121, Kuntcevskaia ,110000,18,walk,agency,0,6,13,18,3,64,64,64
2122, Maiakovskaia ,220000,8,walk,agency,0,47,2,6,4,64,64,64
2123,No data,140000,0,walk,agency,0,36,7,16,1,64,64,64
2124, Leninskii prospekt ,299000,6,walk,agency,0,68,10,18,3,64,64,64
2125, Tulskaia ,130000,9,walk,agency,0,36,8,12,3,64,64,64
2126, Begovaia ,230000,6,walk,agency,0,35,15,36,3,64,64,64
2127, Maiakovskaia ,150000,8,walk,agency,0,34,5,6,4,64,64,64
2128, Belorusskaia ,300000,13,walk,agency,0,30,15,21,3,64,64,64
2129, Rechnoi vokzal ,130000,21,walk,agency,0,28,16,28,3,64,64,64
2130, Dinamo ,800000,9,walk,agency,0,33,9,10,4,64,64,64
2131, Lomonosovskii prospekt ,230000,14,walk,agency,0,52,15,33,3,64,64,64
2132, Belorusskaia ,300000,13,walk,agency,0,30,15,21,3,64,64,64
2133, Dinamo ,300000,9,walk,agency,0,28,5,10,2,64,64,64
2134, Prospekt Vernadskogo ,300000,11,walk,agency,0,184,12,16,5,64,64,64
2135, Prospekt Mira ,198000,8,walk,agency,0,63,3,14,3,64,64,64
2136, Dinamo ,300000,9,walk,agency,0,58,4,10,2,64,64,64
2137, Kurskaia ,290000,8,walk,agency,0,24,4,7,3,64,64,64
2138, Studencheskaia ,130000,4,walk,agency,0,20,8,9,3,64,64,64
2139, Mendeleevskaia ,290000,3,walk,agency,0,137,10,17,4,64,64,64
2140, Smolenskaia ,500000,11,walk,agency,0,4,7,7,5,64,64,64
2141, Mezhdunarodnaia ,252000,2,walk,agency,0,34,1,85,1,64,64,64
2142, Smolenskaia ,210000,10,walk,agency,0,28,3,4,3,64,64,64
2143, Park kultury ,500000,7,walk,agency,0,121,2,9,3,64,64,64
2144, Maiakovskaia ,270000,12,walk,agency,0,175,12,15,4,64,64,64
2145, Tretiakovskaia ,250000,7,walk,agency,0,19,6,8,3,64,64,64
2146, Barrikadnaia ,200000,7,walk,agency,0,14,7,8,5,64,64,64
2147,No data,95000,0,walk,agency,0,62,7,10,1,64,64,64
2148, Maiakovskaia ,400000,9,walk,agency,0,30,4,8,4,64,64,64
2149, Kievskaia ,430000,13,walk,agency,0,36,3,7,2,64,64,64
2150, Ulitca 1905 goda ,500000,10,walk,agency,0,39,3,18,3,64,64,64
2151, Chistye prudy ,110000,5,walk,agency,0,6,5,8,2,64,64,64
2152, Kievskaia ,1900000,13,walk,agency,0,203,13,15,6,64,64,64
2153, Tverskaia ,450000,6,walk,agency,0,27,6,7,3,64,64,64
2154, Novokuznetckaia ,195000,8,walk,agency,0,12,5,6,1,64,64,64
2155, Kropotkinskaia ,1500000,11,walk,agency,0,13,5,5,5,64,64,64
2156, Smolenskaia ,500000,11,walk,agency,0,131,7,16,3,64,64,64
2157, Novoslobodskaia ,300000,10,walk,agency,0,54,3,19,5,64,64,64
2158, Oktiabrskaia ,300000,5,walk,agency,0,36,2,9,3,64,64,64
2159, Smolenskaia ,500000,11,walk,agency,0,117,6,16,4,64,64,64
2160, Smolenskaia ,250000,6,walk,agency,0,127,7,7,5,64,64,64
2161, Oktiabrskoe pole ,280000,10,walk,agency,0,6,11,11,5,64,64,64
2162, Ramenki ,130000,10,walk,agency,0,13,13,18,2,64,64,64
2163, Mezhdunarodnaia ,300000,7,walk,agency,0,47,49,75,2,64,64,64
2164, Smolenskaia ,500000,11,walk,agency,0,190,7,16,3,64,64,64
2165, Park kultury ,150000,8,walk,agency,0,191,2,6,3,64,64,64
2166, Pushkinskaia ,1500000,11,walk,agency,0,155,2,6,6,64,64,64
2167, Turgenevskaia ,220000,6,walk,agency,0,23,5,6,3,64,64,64
2168, Sokol ,155000,11,walk,agency,0,34,4,23,3,64,64,64
2169, Lomonosovskii prospekt ,450000,18,walk,agency,0,3,25,47,5,64,64,64
2170, Pushkinskaia ,200000,5,walk,agency,0,12,2,5,3,64,64,64
2171, Narodnoe Opolchenie ,130000,18,walk,agency,0,26,5,18,3,64,64,64
2172, Arbatskaia ,1654046,9,walk,agency,0,27,6,8,4,64,64,64
2173, Belorusskaia ,130000,15,walk,agency,0,14,2,12,4,64,64,64
2174, Belorusskaia ,130000,17,walk,agency,0,24,2,3,2,64,64,64
2175, Trubnaia ,220000,5,walk,agency,0,28,2,3,2,64,64,64
2176, Smolenskaia ,800000,11,walk,agency,0,30,13,17,4,64,64,64
2177, Tretiakovskaia ,450000,5,walk,agency,0,30,5,5,3,64,64,64
2178, Novokuznetckaia ,290000,3,walk,agency,0,5,10,12,3,64,64,64
2179, Kurskaia ,300000,8,walk,agency,0,61,4,7,3,64,64,64
2180, Smolenskaia ,300000,13,walk,agency,0,45,3,13,2,64,64,64
2181, Barrikadnaia ,210000,14,walk,agency,0,30,15,18,3,64,64,64
2182, Shchukinskaia ,210000,14,walk,agency,0,33,37,48,4,64,64,64
2183,No data,800000,0,walk,agency,0,187,1,2,7,64,64,64
2184, Kurskaia ,500000,12,walk,agency,0,57,4,11,3,64,64,64
2185, Baumanskaia ,130000,11,walk,agency,0,28,3,3,3,64,64,64
2186, Kropotkinskaia ,240000,6,walk,agency,0,24,2,3,4,64,64,64
2187, Novoslobodskaia ,300000,8,walk,agency,0,40,3,10,2,64,64,64
2188, Smolenskaia ,250000,13,walk,agency,0,46,4,13,2,64,64,64
2189, Teatralnaia ,500000,10,walk,agency,0,49,4,4,5,64,64,64
2190, Kropotkinskaia ,290000,8,walk,agency,0,4,6,9,2,64,64,64
2191, Kurskaia ,280000,11,walk,agency,0,54,4,6,4,64,64,64
2192,No data,300000,0,walk,agency,0,153,15,32,4,64,64,64
2193, Paveletckaia ,110000,11,walk,agency,0,16,4,5,2,64,64,64
2194, Lubianka ,300000,3,walk,agency,0,29,2,5,2,64,64,64
2195, Trubnaia ,1267159,4,walk,agency,0,32,4,6,8,64,64,64
2196, Sokol ,500000,13,walk,agency,0,7,12,57,5,64,64,64
2197, Smolenskaia ,300000,3,walk,agency,0,135,3,6,4,64,64,64
2198, Oktiabrskaia ,850000,9,walk,agency,0,186,5,17,5,64,64,64
2199, Mezhdunarodnaia ,400000,7,walk,agency,0,35,58,75,2,64,64,64
2200, Lubianka ,400000,3,walk,agency,0,190,4,5,2,64,64,64
2201, Smolenskaia ,250000,13,walk,agency,0,38,2,13,1,64,64,64
2202, Baumanskaia ,110000,15,walk,agency,0,23,8,12,3,64,64,64
2203,No data,300000,0,walk,agency,0,4,5,7,5,64,64,64
2204, Borovitckaia ,250000,11,walk,agency,0,43,7,12,3,64,64,64
2205,No data,195000,0,walk,agency,0,36,7,25,3,64,64,64
2206,No data,800000,0,walk,agency,0,39,14,15,5,64,64,64
2207, Turgenevskaia ,230000,4,walk,agency,0,3,5,5,2,64,64,64
2208, Mendeleevskaia ,150000,11,walk,agency,0,5,8,8,3,64,64,64
2209, Krylatskoe ,420000,17,walk,agency,0,4,8,13,4,64,64,64
2210, Belorusskaia ,450000,7,walk,agency,0,47,6,10,4,64,64,64
2211, Smolenskaia ,425000,6,walk,agency,0,124,2,4,4,64,64,64
2212, Prospekt Mira ,250000,8,walk,agency,0,26,3,14,4,64,64,64
2213, Shabolovskaia ,260000,9,walk,agency,0,18,4,20,3,64,64,64
2214, Turgenevskaia ,465000,4,walk,agency,0,46,3,5,3,64,64,64
2215,No data,150000,0,walk,agency,0,20,20,24,2,64,64,64
2216, Smolenskaia ,130000,10,walk,agency,0,17,1,4,2,64,64,64
2217, Park kultury ,230000,7,walk,agency,0,192,5,8,2,64,64,64
2218, Barrikadnaia ,250000,15,walk,agency,0,50,12,22,3,64,64,64
2219, Smolenskaia ,380000,8,walk,agency,0,0,14,16,3,64,64,64
2220, Kurskaia ,130000,12,walk,agency,0,4,6,10,2,64,64,64
2221, Smolenskaia ,400000,10,walk,agency,0,9,12,16,4,64,64,64
2222, Barrikadnaia ,250000,15,walk,agency,0,50,12,22,3,64,64,64
2223, Krasnopresnenskaia ,280000,9,walk,agency,0,25,10,12,3,64,64,64
2224, Belorusskaia ,806374,7,walk,agency,0,69,8,10,4,64,64,64
2225, Borovitckaia ,150000,11,walk,agency,0,13,8,12,3,64,64,64
2226, Tverskaia ,400000,4,walk,agency,0,8,5,5,5,64,64,64
2227,No data,300000,0,walk,agency,0,58,13,16,5,64,64,64
2228, Novokuznetckaia ,300000,3,walk,agency,0,10,6,12,4,64,64,64
2229, Smolenskaia ,800000,5,walk,agency,0,0,224,4166,4,64,64,64
2230, Kropotkinskaia ,500000,6,walk,agency,0,168,3,7,4,64,64,64
2231, Kurskaia ,150000,10,walk,agency,0,2,2,6,3,64,64,64
2232, Sokol ,380000,13,walk,agency,0,131,6,57,3,64,64,64
2233, Belorusskaia ,450000,7,walk,agency,0,16,4,10,4,64,64,64
2234, Turgenevskaia ,400000,4,walk,agency,0,119,4,6,6,64,64,64
2235, Maiakovskaia ,150000,10,walk,agency,0,32,7,8,3,64,64,64
2236, Lubianka ,230000,6,walk,agency,0,19,4,8,3,64,64,64
2237,No data,200000,0,walk,agency,0,25,5,7,2,64,64,64
2238, Pushkinskaia ,200000,9,walk,agency,0,20,5,7,3,64,64,64
2239, Kropotkinskaia ,450000,8,walk,agency,0,12,4,5,4,64,64,64
2240, Lubianka ,480000,6,walk,agency,0,48,6,8,4,64,64,64
2241, Kropotkinskaia ,500000,12,walk,agency,0,1,5,8,6,64,64,64
2242, Arbatskaia ,150000,6,walk,agency,0,6,3,8,3,64,64,64
2243, Trubnaia ,275000,6,walk,agency,0,19,5,6,3,64,64,64
2244, Smolenskaia ,130000,3,walk,agency,0,24,5,8,3,64,64,64
2245, Shabolovskaia ,200000,9,walk,agency,0,135,3,21,4,64,64,64
2246, Timiriazevskaia ,300000,10,walk,agency,0,146,5,12,7,64,64,64
2247, Maiakovskaia ,270000,10,walk,agency,0,56,3,6,4,64,64,64
2248, TcSKA ,194000,5,walk,agency,0,6,27,33,4,64,64,64
2249, Lubianka ,250000,6,walk,agency,0,35,6,8,3,64,64,64
2250, Tretiakovskaia ,290000,1,walk,agency,0,4,5,8,3,64,64,64
2251,No data,300000,0,walk,agency,0,58,3,6,3,64,64,64
2252, Maiakovskaia ,270000,10,walk,agency,0,56,3,6,4,64,64,64
2253, Chistye prudy ,1399577,6,walk,agency,0,61,6,7,8,64,64,64
2254, Smolenskaia ,300000,4,walk,agency,0,0,3,4,6,64,64,64
2255, Okhotnyi riad ,250000,7,walk,agency,0,2,8,8,4,64,64,64
2256, Maiakovskaia ,260000,6,walk,agency,0,19,6,8,3,64,64,64
2257, Park kultury ,400000,6,walk,agency,0,30,4,6,4,64,64,64
2258, Maiakovskaia ,140000,10,walk,agency,0,28,4,6,3,64,64,64
2259, Novoslobodskaia ,1781280,10,walk,agency,0,22,4,19,5,64,64,64
2260, Smolenskaia ,290000,5,walk,agency,0,156,226,6167,2,64,64,64
2261, Prospekt Mira ,403187,8,walk,agency,0,152,11,14,3,64,64,64
2262, Tverskaia ,220000,4,walk,agency,0,41,2,5,4,64,64,64
2263, Park kultury ,450000,6,walk,agency,0,183,2,5,3,64,64,64
2264, Smolenskaia ,100000,9,walk,agency,0,4,6,6,3,64,64,64
2265, Krasnopresnenskaia ,230000,12,walk,agency,0,4,6,10,4,64,64,64
2266, Kitai-gorod ,220000,3,walk,agency,0,32,3,6,3,64,64,64
2267, Kitai-gorod ,260000,15,walk,agency,0,155,5,32,3,64,64,64
2268, Pushkinskaia ,300000,8,walk,agency,0,49,2,6,3,64,64,64
2269, Tretiakovskaia ,381703,1,walk,agency,0,59,3,5,4,64,64,64
2270, Novoslobodskaia ,100000,7,walk,agency,0,3,3,14,2,64,64,64
2271, Maiakovskaia ,150000,6,walk,agency,0,54,7,10,2,64,64,64
2272, Tretiakovskaia ,270000,5,walk,agency,0,37,7,9,4,64,64,64
2273,No data,1295498,0,walk,agency,0,27,6,30,5,64,64,64
2274, Tcvetnoi bulvar ,450000,6,walk,agency,0,22,4,5,6,64,64,64
2275, Borovitckaia ,400000,5,walk,agency,0,2,4,6,4,64,64,64
2276, Krasnye vorota ,200000,10,walk,agency,0,6,7,9,5,64,64,64
2277, Smolenskaia ,300000,9,walk,agency,0,2,6,7,4,64,64,64
2278, Arbatskaia ,190000,10,walk,agency,0,10,4,6,2,64,64,64
2279, Turgenevskaia ,380000,6,walk,agency,0,37,5,5,4,64,64,64
2280, Kievskaia ,110000,13,walk,agency,0,27,2,11,2,64,64,64
2281, Barrikadnaia ,300000,9,walk,agency,0,121,10,15,4,64,64,64
2282, Maiakovskaia ,280000,8,walk,agency,0,4,4,6,2,64,64,64
2283, Pushkinskaia ,280000,12,walk,agency,0,177,5,6,4,64,64,64
2284, Tretiakovskaia ,230000,2,walk,agency,0,190,2,6,3,64,64,64
2285, Kropotkinskaia ,500000,4,walk,agency,0,176,3,5,4,64,64,64
2286, Kropotkinskaia ,285000,9,walk,agency,0,31,8,9,3,64,64,64
2287, Tretiakovskaia ,250000,5,walk,agency,0,31,2,6,4,64,64,64
2288, Novoslobodskaia ,380000,4,walk,agency,0,3,3,6,5,64,64,64
2289, Turgenevskaia ,430000,6,walk,agency,0,61,3,7,4,64,64,64
2290, Fonvizinskaia ,70000,8,walk,agency,0,22,9,12,3,64,64,64
2291, Kropotkinskaia ,850000,8,walk,agency,0,210,8,10,5,256,144,26
2292, Chistye prudy ,450000,6,walk,agency,0,194,3,6,5,200,121,15
2293,No data,140000,0,walk,agency,0,68,2,10,3,98,61,9
2294, Tverskaia ,250000,9,walk,agency,0,139,8,9,3,128,74,15
2295, Smolenskaia ,850000,10,walk,agency,0,3,4,7,4,169,96,18
2296, VDNKh ,70000,12,walk,agency,0,24,3,9,3,70,48,9
2297,No data,150000,0,walk,agency,0,5,19,22,4,100,66,10
2298, Polianka ,110000,6,walk,agency,0,31,4,5,2,65,38,8
2299, Smolenskaia ,400000,6,walk,agency,0,178,7,9,4,196,90,40
2300, Novokuznetckaia ,195000,4,walk,agency,0,17,2,5,3,90,52,14
2301, Park kultury ,420000,6,walk,agency,0,10,5,6,5,180,103,22
2302, Teatralnaia ,200000,10,walk,agency,0,30,4,5,4,135,117,12
2303, Nagatinskaia ,100000,15,walk,agency,0,18,14,22,3,117,72,9
2304, Trubnaia ,250000,7,walk,agency,0,49,3,4,3,123,68,19
2305, Begovaia ,130000,6,walk,agency,0,13,25,37,2,71,40,15
2306, Oktiabrskaia ,800000,9,walk,agency,0,209,5,17,5,258,149,7
2307, Arbatskaia ,500000,11,walk,agency,0,73,3,7,3,160,86,16
2308, Narodnoe Opolchenie ,150000,14,transport,agency,0,200,11,48,2,103,63,12
2309, Sokol ,500000,13,walk,agency,0,7,12,57,5,222,113,37
2310, Novokuznetckaia ,280000,3,walk,agency,0,2,10,12,3,130,90,15
2311, Novokuznetckaia ,130000,3,walk,agency,0,23,5,6,3,80,33,24
2312, Lubianka ,230000,6,walk,agency,0,24,4,8,3,125,81,12
2313, Kitai-gorod ,260000,16,walk,agency,0,57,5,12,3,110,49,22
2314, Ramenki ,200000,15,walk,agency,0,4,14,16,3,80,51,21
2315, Sokol ,470000,13,walk,agency,0,205,15,57,3,145,71,12
2316, Maiakovskaia ,130000,4,walk,agency,0,30,4,9,3,91,53,15
2317, Smolenskaia ,250000,13,walk,agency,0,15,2,12,1,60,30,10
2318, Mendeleevskaia ,65000,11,walk,agency,50,1,3,12,1,37,20,9
2319, Sukharevskaia ,230000,4,walk,agency,0,42,2,6,3,115,79,10
2320, Turgenevskaia ,450000,4,walk,agency,0,39,3,5,3,180,125,17
2321, Kropotkinskaia ,500000,6,walk,agency,0,195,3,8,4,200,115,20
2322, Tretiakovskaia ,381703,1,walk,agency,0,60,3,5,4,133,98,10
2323,No data,110000,0,walk,agency,0,11,10,14,2,140,90,18
2324, Oktiabrskaia ,300000,5,walk,agency,0,55,2,9,3,114,70,10
2325, Polianka ,210000,9,walk,agency,0,25,8,8,4,85,72,10
2326, Dostoevskaia ,140000,7,walk,agency,50,28,4,9,2,58,36,12
2327, Kievskaia ,135000,5,walk,agency,0,10,7,14,2,65,44,8
2328, Borovitckaia ,150000,11,walk,agency,0,3,8,13,3,130,53,15
2329, Tverskaia ,140000,5,walk,agency,0,5,5,9,4,90,72,9
2330, Kropotkinskaia ,210000,8,walk,agency,0,19,6,7,3,85,43,16
2331, Turgenevskaia ,110000,4,walk,agency,0,24,2,8,2,50,32,8
2332, Dobryninskaia ,400000,6,walk,agency,0,186,4,6,5,185,124,25
2333, Barrikadnaia ,250000,9,walk,agency,0,127,3,8,4,120,84,10
2334,No data,300000,0,walk,agency,0,59,3,8,3,146,105,15
2335, Belorusskaia ,250000,9,walk,agency,0,28,4,13,3,115,76,15
2336, Shabolovskaia ,270000,9,walk,agency,0,16,13,15,3,135,58,15
2337,No data,400000,0,walk,agency,0,15,2,4,4,150,72,20
2338, Mezhdunarodnaia ,400000,7,walk,agency,0,28,58,75,2,105,70,10
2339, Park kultury ,450000,8,walk,agency,0,0,2,4,3,200,160,30
2340, Smolenskaia ,300000,3,walk,agency,0,171,3,6,4,140,99,15
2341, Krasnopresnenskaia ,200000,14,walk,agency,0,50,6,8,5,150,106,25
2342, Arbatskaia ,190000,6,walk,agency,0,6,3,5,3,117,60,14
2343, Smolenskaia ,297000,3,walk,agency,0,24,4,6,4,136,86,27
2344, Tretiakovskaia ,270000,5,walk,agency,0,145,7,9,4,107,74,16
2345, Biblioteka im. Lenina ,300000,5,walk,agency,0,11,5,9,4,160,122,22
2346, Arbatskaia ,310000,14,walk,agency,0,11,6,7,3,180,115,20
2347, Kurskaia ,500000,12,walk,agency,0,55,3,10,3,150,90,20
2348, Delovoi tcentr ,100000,8,walk,agency,0,5,5,6,2,55,35,10
2349, Maiakovskaia ,150000,9,walk,agency,0,26,7,8,3,55,40,10
2350, Turgenevskaia ,230000,2,walk,agency,0,0,5,5,2,134,78,20
2351, Novoslobodskaia ,300000,10,walk,agency,0,55,3,18,5,200,125,20
2352, Park kultury ,500000,7,walk,agency,0,64,2,7,3,140,93,20
2353, Kropotkinskaia ,285000,9,walk,agency,0,48,8,9,3,115,77,13
2354, Pushkinskaia ,1151963,9,walk,agency,0,194,4,8,3,120,82,10
2355, Prospekt Mira ,65000,9,walk,agency,0,5,10,16,3,72,43,9
2356, Lubianka ,400000,3,walk,agency,0,214,4,5,2,90,50,15
2357, Maiakovskaia ,390000,7,walk,agency,0,179,3,9,4,186,97,15
2358, Frunzenskaia ,300000,7,walk,agency,0,29,8,14,3,64,64,64
2359, Trubnaia ,300000,6,walk,agency,0,3,5,5,3,140,64,12
2360, Shabolovskaia ,260000,8,walk,agency,0,0,4,25,3,160,90,12
2361, Ulitca 1905 goda ,210000,18,walk,agency,0,204,20,22,+,120,89,15
2362, Sukharevskaia ,110000,4,walk,agency,0,6,2,4,3,80,68,10
2363, Tverskaia ,430000,10,walk,agency,0,60,7,7,5,200,130,17
2364, Smolenskaia ,780000,4,walk,agency,0,20,4,6,4,206,138,16
2365, Maiakovskaia ,250000,9,walk,agency,0,53,5,6,5,215,126,18
2366, Kropotkinskaia ,230000,5,walk,agency,0,39,3,10,3,88,54,17
2367, Sokol ,310000,13,walk,agency,0,36,22,52,3,144,80,49
2368, Turgenevskaia ,450000,4,walk,agency,0,212,4,6,5,200,130,10
2369, Serpukhovskaia ,100000,10,walk,agency,0,12,5,14,2,75,45,13
2370, Sokol ,100000,8,walk,agency,0,8,4,7,2,85,57,15
2371, Maiakovskaia ,150000,7,walk,agency,0,30,8,12,3,105,85,10
2372, Belorusskaia ,450000,7,walk,agency,0,16,4,9,4,149,79,9
2373, Sokol ,380000,13,walk,agency,0,140,6,19,3,150,80,15
2374, Borovitckaia ,200000,11,walk,agency,0,58,10,10,3,60,39,10
2375, Krasnye vorota ,130000,10,walk,agency,0,66,5,9,3,82,46,12
2376, Barrikadnaia ,400000,14,walk,agency,0,52,14,15,4,230,150,55
2377, Krasnye vorota ,220000,10,walk,agency,0,7,5,6,5,131,86,6
2378, Paveletckaia ,230000,7,walk,agency,0,65,4,5,4,138,98,20
2379, Pushkinskaia ,490000,3,walk,agency,0,206,5,11,4,185,104,20
2380, Kitai-gorod ,220000,5,walk,agency,0,22,3,6,3,115,88,15
2381,No data,230000,0,walk,agency,0,2,2,14,3,140,129,10
2382, Prospekt Mira ,130000,11,walk,agency,0,32,10,12,2,80,45,15
2383, Novokuznetckaia ,280000,3,walk,agency,0,203,11,12,3,155,95,10
2384, Pushkinskaia ,230000,10,walk,agency,0,60,7,16,3,90,56,11
2385, Minskaia ,800000,16,walk,agency,0,214,3,7,5,280,123,30
2386,No data,1272343,0,walk,agency,0,184,6,30,6,400,203,50
2387, TcSKA ,194000,5,walk,agency,0,5,27,33,4,150,104,5
2388, Park kultury ,400000,6,walk,agency,0,32,4,6,4,185,105,21
2389, Barrikadnaia ,200000,9,walk,agency,0,31,10,14,3,150,82,17
2390, Krasnopresnenskaia ,300000,12,walk,agency,0,11,11,14,3,115,85,12
2391, Chistye prudy ,135000,3,walk,agency,0,5,3,5,3,90,49,16
2392, Narodnoe Opolchenie ,150000,15,transport,agency,0,4,5,17,4,180,115,20
2393, Chistye prudy ,250000,10,walk,agency,0,7,4,4,4,123,113,5
2394, Smolenskaia ,130000,3,walk,agency,0,20,5,8,3,82,68,10
2395, Ulitca 1905 goda ,310000,18,walk,agency,0,182,20,22,+,150,71,10
2396, Sukharevskaia ,100000,5,walk,agency,0,6,5,9,3,90,52,10
2397, Iugo-Zapadnaia ,140000,11,transport,agency,0,64,10,10,4,215,105,20
2398,No data,200000,0,transport,agency,0,20,5,8,2,78,55,10
2399, Arbatskaia ,150000,6,walk,agency,0,10,3,6,3,130,87,16
2400, Pushkinskaia ,280000,12,walk,agency,0,146,5,6,4,110,91,10
2401, Tverskaia ,140000,7,walk,agency,0,2,5,6,3,75,32,12
2402, Barrikadnaia ,210000,14,walk,agency,0,27,15,17,3,130,68,15
2403, Pushkinskaia ,200000,9,walk,agency,0,22,5,6,3,100,53,15
2404, Shabolovskaia ,200000,9,walk,agency,0,145,3,18,4,154,100,15
2405, Maiakovskaia ,145000,10,walk,agency,0,60,8,11,2,70,38,10
2406, Arbatskaia ,190000,10,walk,agency,0,200,4,5,2,120,71,15
2407, Krasnopresnenskaia ,230000,12,walk,agency,0,176,6,8,4,125,79,21
2408, Turgenevskaia ,220000,6,walk,agency,0,27,5,6,3,90,51,10
2409, Kropotkinskaia ,310000,9,walk,agency,0,208,4,6,3,150,75,23
2410,No data,49990,0,walk,developer,50,26,6,25,1,50,25,10
2411, Ulitca Starokachalovskaia ,40000,11,walk,developer,60,33,15,18,1,44,18,10
2412, Nekrasovka ,34000,11,transport,developer,50,10,22,25,1,38,20,10
2413, Avtozavodskaia ,150000,14,walk,owner,0,4,14,14,+,64,64,64
2414, Iasenevo ,39000,8,walk,agency,50,11,9,9,1,30,19,6
2415, Salarevo ,58000,20,walk,developer,50,15,12,24,2,60,38,10
2416, Annino ,52000,10,walk,agency,50,5,5,25,1,64,64,64
2417, Prazhskaia ,70000,16,walk,agency,50,17,8,16,2,55,35,13
2418, Fili ,130000,16,walk,agency,50,7,14,21,1,71,35,12
2419, Mezhdunarodnaia ,230000,6,walk,agency,0,7,44,77,2,60,35,10
2420,No data,68000,0,walk,agency,50,7,3,17,2,75,41,14
2421, Frunzenskaia ,110000,11,walk,agency,0,18,3,12,2,64,30,18
2422,No data,36000,0,walk,agency,50,16,5,9,1,33,19,8
2423, Govorovo ,65000,15,walk,agency,0,5,2,12,2,75,41,14
2424, Govorovo ,65000,15,walk,agency,0,5,2,12,2,75,41,14
2425, Govorovo ,65000,15,walk,agency,0,5,2,12,2,75,41,14
2426, Olkhovaia ,35000,19,transport,agency,50,12,3,12,1,39,16,11
2427, Ulitca 1905 goda ,150000,14,walk,agency,50,13,21,44,+,58,42,9
2428,No data,59000,0,walk,agency,50,16,2,5,1,28,10,8
2429, Tcaritcyno ,43000,20,transport,agency,50,22,10,17,1,64,64,64
2430, Fili ,110000,16,walk,agency,50,44,5,21,1,50,25,12
2431, Kolomenskaia ,70000,18,transport,agency,50,21,3,18,2,40,20,10
2432, Ploshchad Ilicha ,100000,6,walk,agency,50,21,4,8,1,4,27,7
2433, Medvedkovo ,40000,12,walk,agency,50,25,1,12,1,35,18,10
2434,No data,150000,0,walk,agency,0,18,14,24,3,128,70,13
2435, Kuzminki ,45000,8,walk,agency,50,37,15,16,1,42,18,10
2436, Ulitca 1905 goda ,129000,14,walk,agency,0,25,8,44,+,8,26,7
2437,No data,100000,0,walk,agency,50,19,8,30,2,60,35,20
2438, Tekstilshchiki ,40000,15,walk,agency,0,30,3,7,1,64,64,64
2439, Kantemirovskaia ,65000,15,walk,agency,60,30,10,14,3,74,42,11
2440, Ploshchad Ilicha ,100000,6,walk,agency,50,27,8,8,2,60,27,12
2441, Olkhovaia ,40000,19,transport,agency,50,41,13,14,2,45,28,7
2442, Ulitca 1905 goda ,190000,14,walk,agency,0,34,31,44,+,69,45,9
2443, Bulvar Rokossovskogo ,70000,7,walk,agency,50,38,24,31,2,9,27,10
2444,No data,145000,0,walk,agency,0,33,3,10,2,45,20,10
2445, Ulitca 1905 goda ,130000,14,walk,agency,30,41,32,44,+,50,35,5
2446, Shelepikha ,145000,19,walk,agency,0,40,9,36,3,69,45,9
2447, Ploshchad Ilicha ,110000,6,walk,agency,50,54,3,12,2,78,40,22
2448, Olkhovaia ,30000,18,transport,agency,50,32,8,12,1,5,19,9
2449, Govorovo ,110000,6,walk,agency,50,54,10,17,4,113,66,17
2450, Tulskaia ,100000,4,walk,agency,40,44,3,12,1,2,20,10
2451,No data,100000,0,walk,agency,50,53,22,26,2,45,21,10
2452, Botanicheskii sad ,130000,13,walk,agency,30,19,12,22,3,85,28,35
2453,No data,150000,0,walk,agency,50,49,2,14,2,78,43,30
2454, TcSKA ,100000,11,walk,agency,50,3,3,15,2,47,30,10
2455, Mezhdunarodnaia ,275000,6,walk,agency,0,112,24,77,2,8,45,10
2456, Fili ,110000,17,walk,agency,50,6,26,31,2,50,28,12
2457, Barrikadnaia ,150000,10,walk,agency,0,16,14,17,2,105,55,16
2458,No data,200000,0,walk,developer,0,30,16,16,4,64,64,64
2459,No data,28000,0,walk,agency,50,9,5,9,1,33,20,7
2460,No data,45000,0,walk,developer,0,17,9,12,2,53,30,10
2461, Ramenki ,60000,11,walk,developer,50,23,7,17,1,40,20,10
2462, Rasskazovka ,65000,9,transport,developer,50,4,16,17,3,79,55,10
2463,No data,60000,0,transport,developer,50,37,11,12,1,45,21,11
2464,No data,130000,0,transport,agency,0,11,20,20,3,64,64,64
2465, Mezhdunarodnaia ,250000,3,walk,developer,0,198,49,85,2,64,64,64
2466, Marina Roshcha ,100000,13,walk,agency,0,11,8,20,2,60,40,15
